Trang,Địa chỉ,Diện tích (m2),Phòng ngủ,WC,Giá
25,phuong nguyen cu trinh,88,4,4,30000
28,phuong nguyen cu trinh,55,4,4,30000
23,phuong nguyen cu trinh,92,10,10,30000
23,phuong nguyen cu trinh,90,3,4,30000
16,phuong nguyen cu trinh,84,2,2,30000
50,phuong nguyen cu trinh,80,9,9,30000
4,phuong nguyen cu trinh,68,3,4,30000
64,phuong nguyen cu trinh,129,1,1,30000
38,phuong nguyen cu trinh,180,15,16,30000
46,phuong nguyen cu trinh,104,4,4,30000
56,phuong nguyen cu trinh,65,5,6,30000
60,phuong nguyen cu trinh,75,5,5,30000
50,phuong nguyen cu trinh,90,8,9,30000
22,phuong nguyen cu trinh,65,5,6,30000
100,phuong nguyen cu trinh,80,6,7,30000
35,phuong nguyen cu trinh,70,2,2,30000
22,phuong nguyen cu trinh,65,5,6,30000
42,phuong nguyen cu trinh,110,8,8,30000
35,phuong nguyen cu trinh,190,1,1,30000
35,phuong nguyen cu trinh,224,10,10,30000
59,phuong nguyen cu trinh,73,5,6,30000
26,phuong nguyen cu trinh,84,2,2,30000
18,phuong nguyen thai binh,70,12,6,30000
18,phuong nguyen thai binh,74,6,6,30000
98,phuong nguyen thai binh,76,3,3,30000
64,phuong nguyen thai binh,60,10,11,30000
2,phuong nguyen thai binh,66,6,6,30000
34,phuong nguyen thai binh,47,3,1,30000
60,phuong nguyen thai binh,97,6,7,30000
61,phuong nguyen thai binh,95,35,35,30000
27,phuong nguyen thai binh,80,8,5,30000
99,phuong nguyen thai binh,75,3,3,30000
93,phuong nguyen thai binh,95,14,15,30000
33,phuong nguyen thai binh,100,9,9,30000
87,phuong nguyen thai binh,72,2,1,30000
99,phuong nguyen thai binh,100,5,5,30000
85,phuong nguyen thai binh,72,3,2,30000
3,phuong nguyen thai binh,65,5,5,30000
85,phuong nguyen thai binh,72,3,2,30000
35,phuong nguyen thai binh,60,10,10,30000
22,phuong nguyen thai binh,78,7,7,30000
78,phuong nguyen thai binh,120,24,24,30000
25,phuong nguyen thai binh,86,10,10,30000
3,phuong pham ngu lao,45,3,4,30000
3,phuong pham ngu lao,42,3,4,30000
3,phuong pham ngu lao,50,3,4,30000
15,phuong pham ngu lao,40,4,4,30000
28,phuong pham ngu lao,72,3,3,30000
32,phuong pham ngu lao,80,15,15,30000
72,phuong pham ngu lao,68,35,35,30000
13,phuong pham ngu lao,48,6,6,30000
98,phuong pham ngu lao,80,6,6,30000
95,phuong pham ngu lao,92,10,10,30000
86,phuong pham ngu lao,183,6,6,30000
92,phuong pham ngu lao,64,20,20,30000
7,phuong tan dinh,66,5,5,30000
7,phuong tan dinh,90,18,18,30000
7,phuong tan dinh,38,6,6,30000
27,phuong tan dinh,60,1,1,30000
34,phuong tan dinh,150,1,1,30000
10,phuong tan dinh,114,4,5,30000
74,phuong tan dinh,82,8,8,30000
18,phuong tan dinh,125,4,3,30000
25,phuong tan dinh,60,6,6,30000
88,phuong tan dinh,77,5,6,30000
95,phuong tan dinh,92,8,8,30000
90,phuong tan dinh,100,4,4,30000
68,phuong tan dinh,80,4,4,30000
73,phuong tan dinh,110,15,16,30000
90,phuong tan dinh,100,4,4,30000
90,phuong tan dinh,100,5,5,30000
17,phuong tan dinh,105,6,6,30000
90,phuong tan dinh,100,5,5,30000
90,phuong tan dinh,81,3,3,30000
29,phuong tan dinh,140,1,1,30000
79,phuong tan dinh,80,4,4,30000
3,phuong ben nghe,70,13,13,30000
4,phuong ben thanh,60,2,2,30000
1,phuong da kao,80,5,5,30000
8,phuong ben thanh,100,2,2,30000
6,phuong da kao,96,2,1,30000
5,phuong nguyen cu trinh,120,25,25,30000
9,phuong nguyen thai binh,160,3,3,30000
8,phuong nguyen thai binh,82,7,7,30000
1,phuong pham ngu lao,80,20,21,30000
6,phuong tan dinh,90,5,5,30000
76,phuong co giang,87,8,8,30450
34,phuong ben nghe,100,10,11,30500
98,phuong ben nghe,71,8,9,30500
76,phuong ben thanh,56,4,4,30500
95,phuong ben thanh,158,11,12,30500
13,phuong co giang,100,6,6,30500
59,phuong da kao,90,6,6,30500
26,phuong nguyen thai binh,158,11,12,30500
82,phuong nguyen thai binh,80,9,9,30500
8,phuong ben thanh,60,2,2,30500
7,phuong ben thanh,56,2,2,30500
4,phuong da kao,79,14,14,30500
4,phuong cau kho,78,6,6,30600
44,phuong cau kho,78,8,8,30600
40,phuong cau kho,78,4,4,30600
36,phuong da kao,102,8,8,30800
43,phuong nguyen thai binh,70,2,2,30800
4,phuong nguyen cu trinh,181,3,3,30800
46,phuong da kao,135,6,6,30900
46,phuong da kao,135,6,6,30900
46,phuong da kao,135,6,6,30900
46,phuong da kao,135,6,6,30900
18,phuong nguyen thai binh,65,1,1,30900
57,phuong tan dinh,90,4,4,30990
13,phuong ben nghe,41,3,4,31000
71,phuong ben nghe,120,12,12,31000
34,phuong ben thanh,56,5,5,31000
39,phuong ben thanh,82,5,5,31000
71,phuong ben thanh,80,2,2,31000
90,phuong ben thanh,56,6,7,31000
39,phuong cau kho,70,8,8,31000
3,phuong cau kho,80,6,6,31000
33,phuong cau kho,100,10,10,31000
6,phuong cau kho,100,6,6,31000
27,phuong cau ong lanh,48,8,8,31000
32,phuong cau ong lanh,72,10,11,31000
4,phuong cau ong lanh,68,3,3,31000
23,phuong cau ong lanh,72,24,24,31000
17,phuong cau ong lanh,144,5,5,31000
17,phuong cau ong lanh,144,10,10,31000
24,phuong cau ong lanh,59,10,10,31000
11,phuong co giang,68,7,7,31000
60,phuong co giang,60,4,4,31000
46,phuong co giang,86,6,5,31000
73,phuong co giang,136,54,50,31000
2,phuong co giang,65,1,3,31000
49,phuong co giang,150,3,2,31000
73,phuong co giang,60,4,4,31000
60,phuong co giang,66,3,3,31000
16,phuong co giang,90,3,2,31000
26,phuong da kao,75,2,2,31000
17,phuong da kao,90,8,5,31000
99,phuong da kao,185,5,5,31000
36,phuong da kao,120,7,7,31000
46,phuong da kao,135,6,6,31000
85,phuong da kao,78,7,7,31000
51,phuong da kao,93,7,7,31000
50,phuong da kao,123,20,20,31000
52,phuong nguyen cu trinh,72,3,3,31000
14,phuong nguyen cu trinh,86,6,6,31000
91,phuong nguyen cu trinh,130,8,8,31000
28,phuong nguyen cu trinh,90,8,8,31000
90,phuong nguyen cu trinh,127,11,11,31000
43,phuong nguyen cu trinh,123,10,11,31000
66,phuong nguyen cu trinh,125,4,4,31000
15,phuong nguyen cu trinh,68,6,6,31000
32,phuong nguyen cu trinh,55,6,6,31000
60,phuong nguyen cu trinh,70,6,6,31000
38,phuong nguyen cu trinh,60,7,7,31000
21,phuong nguyen cu trinh,68,4,16,31000
98,phuong nguyen thai binh,72,2,2,31000
70,phuong nguyen thai binh,63,3,3,31000
57,phuong nguyen thai binh,68,21,21,31000
27,phuong nguyen thai binh,90,8,5,31000
7,phuong nguyen thai binh,105,14,15,31000
60,phuong nguyen thai binh,50,14,15,31000
65,phuong nguyen thai binh,68,21,21,31000
59,phuong nguyen thai binh,68,21,21,31000
11,phuong pham ngu lao,60,6,6,31000
6,phuong pham ngu lao,80,3,4,31000
90,phuong pham ngu lao,113,18,19,31000
90,phuong pham ngu lao,54,8,9,31000
2,phuong tan dinh,50,5,5,31000
85,phuong tan dinh,102,3,3,31000
76,phuong tan dinh,90,10,10,31000
52,phuong tan dinh,38,6,6,31000
47,phuong tan dinh,38,6,6,31000
5,phuong nguyen cu trinh,182,2,2,31000
4,phuong ben nghe,75,14,15,31000
1,phuong nguyen cu trinh,72,24,24,31000
5,phuong nguyen cu trinh,88,2,2,31000
50,phuong da kao,81,8,8,31400
47,phuong ben nghe,144,5,4,31500
100,phuong ben thanh,110,7,5,31500
13,phuong cau ong lanh,92,2,2,31500
13,phuong cau ong lanh,92,2,2,31500
56,phuong co giang,140,5,6,31500
74,phuong co giang,57,3,4,31500
47,phuong co giang,184,2,2,31500
69,phuong co giang,70,3,3,31500
49,phuong co giang,104,6,6,31500
53,phuong da kao,95,5,6,31500
51,phuong da kao,80,6,6,31500
18,phuong nguyen cu trinh,130,13,13,31500
53,phuong nguyen cu trinh,84,4,3,31500
81,phuong nguyen cu trinh,100,5,5,31500
26,phuong nguyen cu trinh,130,5,5,31500
56,phuong nguyen thai binh,141,24,24,31500
79,phuong nguyen thai binh,95,6,7,31500
74,phuong nguyen thai binh,176,2,2,31500
47,phuong pham ngu lao,80,2,2,31500
5,phuong pham ngu lao,80,5,6,31500
81,phuong pham ngu lao,72,5,5,31500
99,phuong pham ngu lao,72,1,1,31500
85,phuong pham ngu lao,88,6,6,31500
43,phuong tan dinh,90,4,4,31500
8,phuong pham ngu lao,59,6,6,31500
47,phuong co giang,149,2,2,31600
1,phuong ben nghe,80,10,10,31990
7,phuong ben nghe,68,1,2,31999
46,phuong ben thanh,36,3,2,31999
40,phuong ben nghe,63,5,5,32000
22,phuong ben nghe,70,2,2,32000
98,phuong ben nghe,74,10,11,32000
33,phuong ben nghe,106,10,11,32000
99,phuong ben nghe,70,6,7,32000
60,phuong ben nghe,64,12,12,32000
97,phuong ben nghe,68,4,5,32000
45,phuong ben nghe,54,4,4,32000
59,phuong ben thanh,120,30,30,32000
2,phuong ben thanh,80,6,6,32000
2,phuong ben thanh,7,6,6,32000
14,phuong ben thanh,130,20,21,32000
14,phuong ben thanh,89,4,4,32000
22,phuong ben thanh,56,8,8,32000
3,phuong ben thanh,140,20,21,32000
51,phuong ben thanh,99,2,2,32000
49,phuong ben thanh,56,4,4,32000
79,phuong ben thanh,56,4,4,32000
86,phuong ben thanh,60,3,4,32000
54,phuong ben thanh,90,10,8,32000
52,phuong ben thanh,60,6,6,32000
94,phuong ben thanh,56,5,5,32000
84,phuong ben thanh,56,3,4,32000
46,phuong ben thanh,60,15,16,32000
96,phuong ben thanh,56,2,2,32000
8,phuong cau kho,60,5,6,32000
44,phuong cau kho,420,9,9,32000
35,phuong cau ong lanh,68,12,12,32000
35,phuong cau ong lanh,126,12,12,32000
27,phuong cau ong lanh,126,12,12,32000
26,phuong cau ong lanh,126,16,16,32000
18,phuong cau ong lanh,55,5,5,32000
20,phuong cau ong lanh,48,1,1,32000
32,phuong cau ong lanh,48,4,4,32000
32,phuong cau ong lanh,126,12,12,32000
32,phuong cau ong lanh,126,25,25,32000
28,phuong cau ong lanh,55,5,5,32000
33,phuong cau ong lanh,126,25,25,32000
28,phuong cau ong lanh,48,5,5,32000
21,phuong co giang,80,5,5,32000
36,phuong co giang,72,4,2,32000
14,phuong co giang,37,3,3,32000
29,phuong co giang,88,6,6,32000
18,phuong co giang,66,18,18,32000
65,phuong co giang,80,5,5,32000
68,phuong co giang,80,5,5,32000
67,phuong co giang,80,5,5,32000
64,phuong co giang,80,5,5,32000
65,phuong co giang,80,5,5,32000
68,phuong co giang,80,4,5,32000
67,phuong co giang,80,5,5,32000
64,phuong co giang,80,5,5,32000
65,phuong co giang,80,5,5,32000
68,phuong co giang,80,5,5,32000
67,phuong co giang,80,5,5,32000
64,phuong co giang,80,5,5,32000
65,phuong co giang,80,5,5,32000
49,phuong co giang,225,32,32,32000
68,phuong co giang,80,5,5,32000
67,phuong co giang,80,5,5,32000
64,phuong co giang,80,5,5,32000
5,phuong co giang,80,10,5,32000
48,phuong co giang,140,2,2,32000
67,phuong co giang,80,5,5,32000
64,phuong co giang,80,5,5,32000
65,phuong co giang,84,5,5,32000
64,phuong co giang,80,5,5,32000
56,phuong co giang,117,10,10,32000
5,phuong co giang,75,12,6,32000
75,phuong co giang,52,4,6,32000
64,phuong co giang,80,5,5,32000
66,phuong co giang,80,5,5,32000
63,phuong co giang,84,5,5,32000
67,phuong co giang,80,5,5,32000
64,phuong co giang,80,5,5,32000
65,phuong co giang,80,5,5,32000
67,phuong co giang,80,5,5,32000
64,phuong co giang,80,5,5,32000
65,phuong co giang,80,5,5,32000
67,phuong co giang,84,5,5,32000
64,phuong co giang,80,5,5,32000
65,phuong co giang,80,5,5,32000
66,phuong co giang,80,5,5,32000
63,phuong co giang,80,5,5,32000
67,phuong co giang,84,5,5,32000
64,phuong co giang,80,5,5,32000
66,phuong co giang,80,5,5,32000
67,phuong co giang,84,5,5,32000
64,phuong co giang,80,5,5,32000
66,phuong co giang,80,5,5,32000
67,phuong co giang,84,5,5,32000
64,phuong co giang,80,5,5,32000
63,phuong co giang,80,5,5,32000
67,phuong co giang,80,5,5,32000
64,phuong co giang,80,5,5,32000
63,phuong co giang,80,5,5,32000
67,phuong co giang,80,5,5,32000
64,phuong co giang,80,5,5,32000
26,phuong da kao,86,7,7,32000
14,phuong da kao,64,2,2,32000
22,phuong da kao,146,10,10,32000
71,phuong da kao,121,10,11,32000
28,phuong da kao,80,1,1,32000
21,phuong da kao,106,13,8,32000
7,phuong da kao,54,9,9,32000
7,phuong da kao,56,9,9,32000
31,phuong da kao,75,4,4,32000
54,phuong da kao,110,6,6,32000
96,phuong da kao,89,6,6,32000
32,phuong da kao,85,8,8,32000
96,phuong da kao,85,6,6,32000
56,phuong da kao,76,6,6,32000
91,phuong da kao,90,6,6,32000
96,phuong da kao,130,4,4,32000
77,phuong da kao,70,6,6,32000
96,phuong da kao,90,9,9,32000
50,phuong da kao,171,6,6,32000
96,phuong da kao,89,6,6,32000
51,phuong da kao,560,12,7,32000
75,phuong da kao,250,29,30,32000
52,phuong nguyen cu trinh,70,6,6,32000
14,phuong nguyen cu trinh,75,8,8,32000
23,phuong nguyen cu trinh,130,25,25,32000
70,phuong nguyen cu trinh,82,5,5,32000
26,phuong nguyen cu trinh,130,25,25,32000
24,phuong nguyen cu trinh,95,10,10,32000
36,phuong nguyen cu trinh,150,8,8,32000
39,phuong nguyen cu trinh,40,11,8,32000
63,phuong nguyen cu trinh,130,20,20,32000
64,phuong nguyen cu trinh,176,17,17,32000
47,phuong nguyen cu trinh,115,5,5,32000
15,phuong nguyen cu trinh,61,6,6,32000
11,phuong nguyen cu trinh,88,4,4,32000
36,phuong nguyen cu trinh,92,5,5,32000
64,phuong nguyen cu trinh,176,10,10,32000
36,phuong nguyen cu trinh,80,7,7,32000
34,phuong nguyen cu trinh,100,6,6,32000
62,phuong nguyen cu trinh,42,4,4,32000
34,phuong nguyen cu trinh,72,5,6,32000
70,phuong nguyen cu trinh,60,3,3,32000
32,phuong nguyen cu trinh,121,18,18,32000
26,phuong nguyen cu trinh,88,4,4,32000
13,phuong nguyen cu trinh,67,4,4,32000
31,phuong nguyen cu trinh,110,5,5,32000
48,phuong nguyen cu trinh,120,5,5,32000
26,phuong nguyen cu trinh,70,5,5,32000
80,phuong nguyen cu trinh,80,4,5,32000
43,phuong nguyen cu trinh,94,4,4,32000
56,phuong nguyen thai binh,95,6,7,32000
47,phuong nguyen thai binh,46,6,6,32000
95,phuong nguyen thai binh,84,8,9,32000
1,phuong nguyen thai binh,61,6,6,32000
46,phuong nguyen thai binh,46,6,6,32000
90,phuong nguyen thai binh,100,12,12,32000
86,phuong nguyen thai binh,88,6,6,32000
39,phuong nguyen thai binh,96,4,19,32000
48,phuong nguyen thai binh,46,6,6,32000
89,phuong nguyen thai binh,100,10,10,32000
88,phuong nguyen thai binh,100,6,6,32000
10,phuong nguyen thai binh,92,5,5,32000
59,phuong nguyen thai binh,90,6,7,32000
41,phuong nguyen thai binh,55,5,6,32000
55,phuong nguyen thai binh,46,5,5,32000
6,phuong nguyen thai binh,38,6,6,32000
79,phuong nguyen thai binh,92,5,5,32000
3,phuong pham ngu lao,90,1,1,32000
3,phuong pham ngu lao,37,4,3,32000
3,phuong pham ngu lao,128,2,2,32000
25,phuong pham ngu lao,99,8,8,32000
45,phuong pham ngu lao,64,10,10,32000
67,phuong pham ngu lao,40,21,21,32000
92,phuong pham ngu lao,88,6,6,32000
66,phuong pham ngu lao,88,10,11,32000
71,phuong pham ngu lao,92,21,21,32000
100,phuong pham ngu lao,74,4,4,32000
76,phuong pham ngu lao,160,34,34,32000
51,phuong pham ngu lao,95,9,9,32000
93,phuong pham ngu lao,122,22,23,32000
10,phuong pham ngu lao,65,5,5,32000
97,phuong tan dinh,86,6,8,32000
73,phuong tan dinh,113,15,16,32000
60,phuong tan dinh,96,6,6,32000
29,phuong tan dinh,160,20,21,32000
46,phuong tan dinh,165,3,3,32000
70,phuong tan dinh,204,10,11,32000
97,phuong tan dinh,72,10,11,32000
3,phuong tan dinh,400,10,11,32000
54,phuong tan dinh,100,8,8,32000
25,phuong tan dinh,185,25,25,32000
92,phuong tan dinh,80,6,6,32000
1,phuong da kao,130,8,9,32000
1,phuong da kao,70,8,8,32000
8,phuong ben thanh,80,15,16,32000
9,phuong nguyen cu trinh,68,5,3,32000
10,phuong nguyen cu trinh,132,6,6,32000
10,phuong nguyen cu trinh,70,8,8,32000
6,phuong nguyen thai binh,92,3,3,32000
6,phuong nguyen thai binh,92,3,3,32000
5,phuong pham ngu lao,136,6,6,32000
5,phuong pham ngu lao,48,4,2,32000
1,phuong pham ngu lao,160,6,7,32000
97,phuong ben thanh,56,6,5,32400
97,phuong ben thanh,65,3,2,32400
13,phuong cau ong lanh,100,1,1,32400
1,phuong nguyen thai binh,114,1,1,32400
2,phuong tan dinh,100,6,5,32400
20,phuong ben nghe,63,4,5,32500
75,phuong ben thanh,120,15,15,32500
8,phuong cau kho,60,10,10,32500
24,phuong cau ong lanh,64,8,8,32500
23,phuong cau ong lanh,66,34,34,32500
33,phuong cau ong lanh,66,12,13,32500
10,phuong co giang,40,5,5,32500
50,phuong da kao,86,2,2,32500
53,phuong da kao,110,6,5,32500
52,phuong nguyen cu trinh,110,16,16,32500
26,phuong nguyen cu trinh,150,3,3,32500
34,phuong nguyen cu trinh,94,10,10,32500
35,phuong nguyen cu trinh,110,15,16,32500
63,phuong nguyen cu trinh,106,15,15,32500
37,phuong nguyen cu trinh,120,10,11,32500
77,phuong nguyen thai binh,80,8,9,32500
94,phuong pham ngu lao,68,10,11,32500
72,phuong pham ngu lao,68,14,15,32500
88,phuong pham ngu lao,74,4,4,32500
36,phuong tan dinh,73,4,4,32500
52,phuong tan dinh,65,3,3,32500
10,phuong tan dinh,77,7,9,32500
2,phuong nguyen cu trinh,78,5,5,32500
8,phuong pham ngu lao,81,4,4,32500
16,phuong co giang,60,1,1,32800
19,phuong co giang,80,2,2,32800
62,phuong nguyen cu trinh,165,1,1,32800
4,phuong tan dinh,80,10,6,32800
22,phuong co giang,68,4,4,32900
2,phuong da kao,70,10,11,32900
25,phuong da kao,75,8,4,32900
93,phuong pham ngu lao,68,8,8,32900
2,phuong tan dinh,66,10,11,32900
2,phuong tan dinh,70,10,11,32900
3,phuong tan dinh,70,10,11,32900
52,phuong tan dinh,172,5,5,32900
41,phuong tan dinh,172,5,5,32900
22,phuong nguyen cu trinh,62,4,4,32999
12,phuong ben nghe,157,3,3,33000
59,phuong ben nghe,144,12,12,33000
92,phuong ben nghe,51,6,7,33000
33,phuong ben thanh,61,4,3,33000
33,phuong ben thanh,61,3,3,33000
32,phuong ben thanh,94,10,10,33000
32,phuong ben thanh,50,4,4,33000
49,phuong ben thanh,75,5,5,33000
31,phuong ben thanh,125,8,8,33000
93,phuong ben thanh,54,10,11,33000
84,phuong ben thanh,85,5,5,33000
3,phuong cau kho,74,5,5,33000
3,phuong cau kho,75,3,3,33000
1,phuong cau kho,100,5,6,33000
11,phuong cau kho,57,7,8,33000
10,phuong cau kho,56,6,7,33000
42,phuong cau kho,72,3,4,33000
10,phuong cau kho,73,3,4,33000
32,phuong cau ong lanh,50,6,6,33000
34,phuong cau ong lanh,90,3,4,33000
15,phuong cau ong lanh,82,2,2,33000
10,phuong cau ong lanh,90,5,5,33000
15,phuong co giang,98,5,5,33000
18,phuong co giang,50,6,7,33000
4,phuong co giang,72,4,4,33000
28,phuong co giang,66,4,2,33000
58,phuong co giang,92,2,2,33000
27,phuong co giang,80,4,4,33000
1,phuong co giang,64,7,8,33000
33,phuong co giang,74,10,10,33000
11,phuong co giang,115,6,6,33000
30,phuong co giang,82,4,4,33000
45,phuong co giang,208,6,7,33000
54,phuong co giang,80,1,1,33000
55,phuong co giang,208,2,2,33000
80,phuong co giang,54,7,6,33000
6,phuong da kao,54,7,7,33000
28,phuong da kao,100,15,16,33000
1,phuong da kao,54,7,7,33000
40,phuong da kao,208,2,2,33000
18,phuong da kao,54,6,6,33000
15,phuong da kao,89,6,7,33000
96,phuong da kao,65,6,6,33000
39,phuong da kao,78,8,8,33000
2,phuong da kao,120,6,6,33000
27,phuong da kao,90,0,2,33000
24,phuong da kao,100,3,3,33000
51,phuong da kao,183,1,1,33000
87,phuong da kao,138,3,3,33000
52,phuong da kao,140,12,12,33000
31,phuong da kao,54,7,7,33000
97,phuong da kao,69,18,19,33000
52,phuong nguyen cu trinh,110,15,15,33000
52,phuong nguyen cu trinh,100,15,16,33000
52,phuong nguyen cu trinh,100,15,16,33000
52,phuong nguyen cu trinh,100,15,16,33000
52,phuong nguyen cu trinh,110,16,16,33000
29,phuong nguyen cu trinh,100,4,5,33000
61,phuong nguyen cu trinh,76,9,9,33000
61,phuong nguyen cu trinh,99,6,6,33000
18,phuong nguyen cu trinh,112,15,16,33000
18,phuong nguyen cu trinh,160,20,20,33000
28,phuong nguyen cu trinh,115,6,6,33000
45,phuong nguyen cu trinh,79,7,6,33000
58,phuong nguyen cu trinh,110,15,15,33000
47,phuong nguyen cu trinh,115,15,15,33000
43,phuong nguyen cu trinh,108,15,15,33000
51,phuong nguyen cu trinh,98,4,4,33000
42,phuong nguyen cu trinh,94,6,4,33000
54,phuong nguyen cu trinh,100,15,15,33000
67,phuong nguyen cu trinh,80,2,2,33000
65,phuong nguyen cu trinh,160,20,20,33000
90,phuong nguyen cu trinh,129,2,2,33000
63,phuong nguyen cu trinh,106,15,15,33000
15,phuong nguyen cu trinh,94,6,6,33000
36,phuong nguyen cu trinh,113,3,4,33000
55,phuong nguyen cu trinh,115,15,15,33000
60,phuong nguyen cu trinh,110,15,15,33000
55,phuong nguyen cu trinh,114,15,15,33000
49,phuong nguyen cu trinh,139,1,1,33000
42,phuong nguyen cu trinh,110,15,16,33000
43,phuong nguyen cu trinh,115,15,15,33000
42,phuong nguyen cu trinh,98,3,2,33000
54,phuong nguyen cu trinh,180,2,2,33000
51,phuong nguyen cu trinh,100,15,16,33000
70,phuong nguyen cu trinh,82,5,5,33000
51,phuong nguyen cu trinh,110,15,17,33000
63,phuong nguyen cu trinh,160,23,23,33000
66,phuong nguyen cu trinh,220,1,1,33000
30,phuong nguyen cu trinh,100,10,10,33000
24,phuong nguyen cu trinh,112,5,4,33000
13,phuong nguyen cu trinh,87,2,2,33000
80,phuong nguyen cu trinh,80,2,2,33000
51,phuong nguyen cu trinh,100,15,16,33000
62,phuong nguyen cu trinh,112,5,5,33000
39,phuong nguyen cu trinh,78,3,3,33000
18,phuong nguyen thai binh,80,13,13,33000
18,phuong nguyen thai binh,70,12,12,33000
14,phuong nguyen thai binh,80,4,4,33000
47,phuong nguyen thai binh,88,1,1,33000
65,phuong nguyen thai binh,90,10,11,33000
33,phuong nguyen thai binh,90,9,9,33000
97,phuong nguyen thai binh,64,6,6,33000
94,phuong nguyen thai binh,86,6,7,33000
17,phuong nguyen thai binh,74,7,7,33000
91,phuong nguyen thai binh,64,6,6,33000
100,phuong nguyen thai binh,48,5,5,33000
91,phuong nguyen thai binh,95,12,12,33000
99,phuong nguyen thai binh,80,3,3,33000
60,phuong nguyen thai binh,89,12,12,33000
63,phuong nguyen thai binh,86,25,25,33000
81,phuong nguyen thai binh,90,32,32,33000
15,phuong nguyen thai binh,80,9,9,33000
81,phuong nguyen thai binh,86,10,11,33000
28,phuong pham ngu lao,49,4,4,33000
85,phuong pham ngu lao,68,3,3,33000
89,phuong pham ngu lao,64,4,4,33000
20,phuong pham ngu lao,90,5,5,33000
95,phuong pham ngu lao,74,4,4,33000
79,phuong pham ngu lao,80,6,6,33000
34,phuong pham ngu lao,110,15,16,33000
71,phuong pham ngu lao,208,34,34,33000
91,phuong pham ngu lao,112,18,18,33000
33,phuong tan dinh,163,4,4,33000
32,phuong tan dinh,163,1,1,33000
34,phuong tan dinh,161,1,1,33000
93,phuong tan dinh,116,5,5,33000
3,phuong tan dinh,120,6,6,33000
82,phuong tan dinh,83,6,6,33000
80,phuong tan dinh,90,4,5,33000
47,phuong tan dinh,65,5,5,33000
18,phuong tan dinh,76,7,7,33000
35,phuong tan dinh,64,5,5,33000
24,phuong tan dinh,86,1,5,33000
2,phuong pham ngu lao,216,45,45,33000
1,phuong pham ngu lao,83,3,3,33000
4,phuong tan dinh,80,10,5,33000
4,phuong tan dinh,64,2,2,33000
2,phuong ben thanh,76,25,25,33000
2,phuong da kao,76,3,3,33000
1,phuong nguyen cu trinh,160,20,20,33000
10,phuong nguyen cu trinh,80,4,4,33000
6,phuong nguyen thai binh,88,5,5,33000
3,phuong tan dinh,77,5,5,33000
36,phuong nguyen cu trinh,75,5,4,33200
100,phuong ben thanh,95,5,4,33500
45,phuong ben thanh,56,4,5,33500
37,phuong cau kho,72,3,3,33500
98,phuong da kao,90,6,7,33500
52,phuong nguyen cu trinh,112,21,13,33500
61,phuong nguyen cu trinh,95,5,5,33500
95,phuong nguyen cu trinh,83,24,24,33500
99,phuong nguyen cu trinh,82,34,34,33500
34,phuong nguyen cu trinh,73,6,6,33500
81,phuong nguyen thai binh,64,8,9,33500
66,phuong pham ngu lao,119,10,11,33500
90,phuong pham ngu lao,68,6,7,33500
60,phuong tan dinh,175,3,2,33500
56,phuong tan dinh,130,3,3,33500
92,phuong tan dinh,175,18,18,33500
4,phuong pham ngu lao,120,10,10,33500
2,phuong pham ngu lao,120,8,9,33500
71,phuong nguyen thai binh,87,6,6,33600
3,phuong nguyen cu trinh,90,6,6,33600
26,phuong nguyen thai binh,70,3,4,33750
15,phuong ben nghe,120,5,5,33800
37,phuong ben thanh,80,9,9,33900
4,phuong nguyen thai binh,110,7,7,33990
29,phuong ben nghe,76,5,5,34000
7,phuong ben nghe,70,14,7,34000
32,phuong ben nghe,80,6,6,34000
76,phuong ben nghe,105,2,2,34000
33,phuong ben thanh,61,3,3,34000
88,phuong ben thanh,90,6,6,34000
69,phuong ben thanh,40,4,4,34000
48,phuong ben thanh,202,4,4,34000
16,phuong cau kho,76,6,7,34000
39,phuong cau kho,72,5,5,34000
2,phuong cau kho,56,12,6,34000
2,phuong cau kho,62,22,8,34000
2,phuong cau kho,56,10,10,34000
13,phuong cau kho,86,7,15,34000
1,phuong cau kho,56,6,6,34000
11,phuong cau kho,80,14,14,34000
26,phuong cau ong lanh,100,6,6,34000
12,phuong cau ong lanh,80,7,5,34000
7,phuong cau ong lanh,70,7,7,34000
4,phuong cau ong lanh,80,4,4,34000
52,phuong co giang,190,8,8,34000
35,phuong co giang,80,8,9,34000
53,phuong co giang,88,3,3,34000
56,phuong co giang,88,8,9,34000
50,phuong co giang,89,4,4,34000
55,phuong co giang,100,8,8,34000
55,phuong co giang,100,10,10,34000
53,phuong co giang,88,3,3,34000
58,phuong co giang,102,3,3,34000
2,phuong co giang,100,5,6,34000
9,phuong co giang,79,3,3,34000
20,phuong da kao,80,12,13,34000
21,phuong da kao,70,7,7,34000
7,phuong da kao,60,1,1,34000
80,phuong da kao,136,5,5,34000
90,phuong da kao,64,7,7,34000
97,phuong da kao,80,6,7,34000
25,phuong nguyen cu trinh,160,2,2,34000
61,phuong nguyen cu trinh,182,20,20,34000
45,phuong nguyen cu trinh,115,3,3,34000
45,phuong nguyen cu trinh,95,8,8,34000
39,phuong nguyen cu trinh,112,6,6,34000
56,phuong nguyen cu trinh,94,5,6,34000
22,phuong nguyen cu trinh,94,4,5,34000
74,phuong nguyen cu trinh,68,1,1,34000
94,phuong nguyen cu trinh,182,8,9,34000
49,phuong nguyen cu trinh,73,4,4,34000
